標號,時間,類型,交易對,金額,資費差,before倉位餘額,after倉位餘額,before現金餘額,after現金餘額,總餘額
1,2025-01-02 08:00:00,進場,ETHWUSDT_binance_bybit,-5000.0,-,0.0,5000.0,10000.0,5000.0,10000.0
2,2025-01-02 08:00:00,進場手續費,ETHWUSDT_binance_bybit,-3.5,-,5000.0,5000.0,5000.0,4996.5,9996.5
2,2025-01-03 08:00:00,資金費率,ETHWUSDT_binance_bybit,1.29,0.00051432,5000.0,5000.0,4996.5,4997.79,9997.79
3,2025-01-04 08:00:00,資金費率,ETHWUSDT_binance_bybit,1.51,0.00060389,5000.0,5000.0,4997.79,4999.3,9999.3
4,2025-01-05 08:00:00,資金費率,ETHWUSDT_binance_bybit,2.46,0.00098262,5000.0,5000.0,4999.3,5001.75,10001.75
5,2025-01-05 08:00:00,進場,POPCATUSDT_binance_bybit,-5000.0,-,5000.0,10000.0,5001.75,1.75,10001.75
6,2025-01-05 08:00:00,進場手續費,POPCATUSDT_binance_bybit,-3.5,-,10000.0,10000.0,1.75,-1.75,9998.25
6,2025-01-06 08:00:00,資金費率,ETHWUSDT_binance_bybit,1.13,0.00045343,10000.0,10000.0,-1.75,-0.61,9999.39
7,2025-01-06 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.98,0.00039134,10000.0,10000.0,-0.61,0.36,10000.36
8,2025-01-07 08:00:00,資金費率,ETHWUSDT_binance_bybit,3.14,0.00125426,10000.0,10000.0,0.36,3.5,10003.5
9,2025-01-07 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.44,0.00017677,10000.0,10000.0,3.5,3.94,10003.94
10,2025-01-08 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.84,0.00033713,10000.0,10000.0,3.94,4.78,10004.78
11,2025-01-08 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.4,0.00015979,10000.0,10000.0,4.78,5.18,10005.18
12,2025-01-09 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.05,2.095e-05,10000.0,10000.0,5.18,5.24,10005.24
13,2025-01-09 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.49,0.00019615,10000.0,10000.0,5.24,5.73,10005.73
14,2025-01-10 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.22,8.961e-05,10000.0,10000.0,5.73,5.95,10005.95
15,2025-01-10 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.19,7.533e-05,10000.0,10000.0,5.95,6.14,10006.14
16,2025-01-11 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.62,0.00024973,10000.0,10000.0,6.14,6.76,10006.76
17,2025-01-11 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.64,0.00025647,10000.0,10000.0,6.76,7.4,10007.4
18,2025-01-12 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.22,8.849e-05,10000.0,10000.0,7.4,7.63,10007.63
19,2025-01-12 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.69,0.00027613,10000.0,10000.0,7.63,8.32,10008.32
20,2025-01-13 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.12,4.834e-05,10000.0,10000.0,8.32,8.44,10008.44
21,2025-01-13 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.31,0.00012475,10000.0,10000.0,8.44,8.75,10008.75
22,2025-01-14 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.0,0.0,10000.0,10000.0,8.75,8.75,10008.75
23,2025-01-14 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.22,8.958e-05,10000.0,10000.0,8.75,8.97,10008.97
24,2025-01-15 08:00:00,資金費率,ETHWUSDT_binance_bybit,1.55,0.00061933,10000.0,10000.0,8.97,10.52,10010.52
25,2025-01-15 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.0,0.0,10000.0,10000.0,10.52,10.52,10010.52
26,2025-01-16 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.12,4.737e-05,10000.0,10000.0,10.52,10.64,10010.64
27,2025-01-16 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.05,2.083e-05,10000.0,10000.0,10.64,10.69,10010.69
28,2025-01-17 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.68,0.00027272,10000.0,10000.0,10.69,11.37,10011.37
29,2025-01-17 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.45,0.00017838,10000.0,10000.0,11.37,11.82,10011.82
30,2025-01-18 08:00:00,資金費率,ETHWUSDT_binance_bybit,1.27,0.00050726,10000.0,10000.0,11.82,13.09,10013.09
31,2025-01-18 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.66,0.00026413,10000.0,10000.0,13.09,13.75,10013.75
32,2025-01-19 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.14,5.573e-05,10000.0,10000.0,13.75,13.89,10013.89
33,2025-01-19 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.21,8.418e-05,10000.0,10000.0,13.89,14.1,10014.1
34,2025-01-20 08:00:00,資金費率,ETHWUSDT_binance_bybit,1.52,0.00060821,10000.0,10000.0,14.1,15.62,10015.62
35,2025-01-20 08:00:00,資金費率,POPCATUSDT_binance_bybit,1.14,0.00045579,10000.0,10000.0,15.62,16.76,10016.76
