標號,時間,類型,交易對,金額,資費差,before倉位餘額,after倉位餘額,before現金餘額,after現金餘額,總餘額
1,2025-01-02 08:00:00,進場,ETHWUSDT_binance_bybit,-2500.0,-,0.0,2500.0,10000.0,7500.0,10000.0
2,2025-01-02 08:00:00,進場手續費,ETHWUSDT_binance_bybit,-1.75,-,2500.0,2500.0,7500.0,7498.25,9998.25
2,2025-01-02 08:00:00,進場,POPCATUSDT_binance_bybit,-2500.0,-,2500.0,5000.0,7498.25,4998.25,9998.25
3,2025-01-02 08:00:00,進場手續費,POPCATUSDT_binance_bybit,-1.75,-,5000.0,5000.0,4998.25,4996.5,9996.5
3,2025-01-02 08:00:00,進場,XCNUSDT_binance_bybit,-2500.0,-,5000.0,7500.0,4996.5,2496.5,9996.5
4,2025-01-02 08:00:00,進場手續費,XCNUSDT_binance_bybit,-1.75,-,7500.0,7500.0,2496.5,2494.75,9994.75
4,2025-01-03 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.64,0.00051432,7500.0,7500.0,2494.75,2495.39,9995.39
5,2025-01-03 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.39,0.00031307,7500.0,7500.0,2495.39,2495.78,9995.78
6,2025-01-03 08:00:00,資金費率,XCNUSDT_binance_bybit,3.02,0.00241611,7500.0,7500.0,2495.78,2498.8,9998.8
7,2025-01-04 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.75,0.00060389,7500.0,7500.0,2498.8,2499.56,9999.56
8,2025-01-04 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.01,4.01e-06,7500.0,7500.0,2499.56,2499.56,9999.56
9,2025-01-04 08:00:00,資金費率,XCNUSDT_binance_bybit,0.47,0.00037243,7500.0,7500.0,2499.56,2500.03,10000.03
10,2025-01-04 08:00:00,進場,SAFEUSDT_binance_bybit,-2500.0,-,7500.0,10000.0,2500.03,0.03,10000.03
11,2025-01-04 08:00:00,進場手續費,SAFEUSDT_binance_bybit,-1.75,-,10000.0,10000.0,0.03,-1.72,9998.28
11,2025-01-05 08:00:00,資金費率,ETHWUSDT_binance_bybit,1.23,0.00098262,10000.0,10000.0,-1.72,-0.49,9999.51
12,2025-01-05 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.4,0.00031796,10000.0,10000.0,-0.49,-0.09,9999.91
13,2025-01-05 08:00:00,資金費率,XCNUSDT_binance_bybit,3.38,0.00270378,10000.0,10000.0,-0.09,3.29,10003.29
14,2025-01-05 08:00:00,資金費率,SAFEUSDT_binance_bybit,0.0,0.0,10000.0,10000.0,3.29,3.29,10003.29
15,2025-01-06 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.57,0.00045343,10000.0,10000.0,3.29,3.85,10003.85
16,2025-01-06 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.49,0.00039134,10000.0,10000.0,3.85,4.34,10004.34
17,2025-01-06 08:00:00,資金費率,XCNUSDT_binance_bybit,3.7,0.00295906,10000.0,10000.0,4.34,8.04,10008.04
