標號,時間,類型,交易對,金額,資費差,before倉位餘額,after倉位餘額,before現金餘額,after現金餘額,總餘額
1,2024-02-02 08:00:00,進場,EIGENUSDT_binance_bybit,-3300.0,-,0.0,3300.0,10000.0,6700.0,10000.0
2,2024-02-02 08:00:00,進場手續費,EIGENUSDT_binance_bybit,-2.31,-,3300.0,3300.0,6700.0,6697.69,9997.69
2,2024-02-02 08:00:00,進場,GALAUSDT_binance_bybit,-3300.0,-,3300.0,6600.0,6697.69,3397.69,9997.69
3,2024-02-02 08:00:00,進場手續費,GALAUSDT_binance_bybit,-2.31,-,6600.0,6600.0,3397.69,3395.38,9995.38
3,2024-02-02 08:00:00,進場,SNXUSDT_binance_bybit,-3300.0,-,6600.0,9900.0,3395.38,95.38,9995.38
4,2024-02-02 08:00:00,進場手續費,SNXUSDT_binance_bybit,-2.31,-,9900.0,9900.0,95.38,93.07,9993.07
4,2024-02-03 08:00:00,資金費率,EIGENUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
5,2024-02-03 08:00:00,資金費率,GALAUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
6,2024-02-03 08:00:00,資金費率,SNXUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
7,2024-02-04 08:00:00,資金費率,EIGENUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
8,2024-02-04 08:00:00,資金費率,GALAUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
9,2024-02-04 08:00:00,資金費率,SNXUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
10,2024-02-05 08:00:00,資金費率,EIGENUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
11,2024-02-05 08:00:00,資金費率,GALAUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
12,2024-02-05 08:00:00,資金費率,SNXUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
13,2024-02-06 08:00:00,資金費率,EIGENUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
14,2024-02-06 08:00:00,資金費率,GALAUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
15,2024-02-06 08:00:00,資金費率,SNXUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
16,2024-02-07 08:00:00,資金費率,EIGENUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
17,2024-02-07 08:00:00,資金費率,GALAUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
18,2024-02-07 08:00:00,資金費率,SNXUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
19,2024-02-08 08:00:00,資金費率,EIGENUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
20,2024-02-08 08:00:00,資金費率,GALAUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
21,2024-02-08 08:00:00,資金費率,SNXUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
22,2024-02-09 08:00:00,資金費率,EIGENUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
23,2024-02-09 08:00:00,資金費率,GALAUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
24,2024-02-09 08:00:00,資金費率,SNXUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
25,2024-02-10 08:00:00,資金費率,EIGENUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
26,2024-02-10 08:00:00,資金費率,GALAUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
27,2024-02-10 08:00:00,資金費率,SNXUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
28,2024-02-11 08:00:00,資金費率,EIGENUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
29,2024-02-11 08:00:00,資金費率,GALAUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
30,2024-02-11 08:00:00,資金費率,SNXUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
31,2024-02-12 08:00:00,資金費率,EIGENUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
32,2024-02-12 08:00:00,資金費率,GALAUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
33,2024-02-12 08:00:00,資金費率,SNXUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
34,2024-02-13 08:00:00,資金費率,EIGENUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
35,2024-02-13 08:00:00,資金費率,GALAUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
36,2024-02-13 08:00:00,資金費率,SNXUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
37,2024-02-14 08:00:00,資金費率,EIGENUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.07,93.07,9993.07
38,2024-02-14 08:00:00,資金費率,GALAUSDT_binance_bybit,0.29,0.00017618,9900.0,9900.0,93.07,93.36,9993.36
39,2024-02-14 08:00:00,資金費率,SNXUSDT_binance_bybit,0.01,5.94e-06,9900.0,9900.0,93.36,93.37,9993.37
40,2024-02-15 08:00:00,資金費率,EIGENUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.37,93.37,9993.37
41,2024-02-15 08:00:00,資金費率,GALAUSDT_binance_bybit,0.36,0.00021671,9900.0,9900.0,93.37,93.73,9993.73
42,2024-02-15 08:00:00,資金費率,SNXUSDT_binance_bybit,-0.14,-8.527e-05,9900.0,9900.0,93.73,93.59,9993.59
43,2024-02-16 08:00:00,資金費率,EIGENUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,93.59,93.59,9993.59
44,2024-02-16 08:00:00,資金費率,GALAUSDT_binance_bybit,0.58,0.00035201,9900.0,9900.0,93.59,94.17,9994.17
45,2024-02-16 08:00:00,資金費率,SNXUSDT_binance_bybit,0.27,0.00016144,9900.0,9900.0,94.17,94.43,9994.43
46,2024-02-17 08:00:00,資金費率,EIGENUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,94.43,94.43,9994.43
47,2024-02-17 08:00:00,資金費率,GALAUSDT_binance_bybit,1.05,0.00063795,9900.0,9900.0,94.43,95.49,9995.49
48,2024-02-17 08:00:00,資金費率,SNXUSDT_binance_bybit,0.61,0.00036993,9900.0,9900.0,95.49,96.1,9996.1
49,2024-02-18 08:00:00,資金費率,EIGENUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,96.1,96.1,9996.1
50,2024-02-18 08:00:00,資金費率,GALAUSDT_binance_bybit,1.1,0.00066445,9900.0,9900.0,96.1,97.19,9997.19
51,2024-02-18 08:00:00,資金費率,SNXUSDT_binance_bybit,0.45,0.00027306,9900.0,9900.0,97.19,97.64,9997.64
52,2024-02-19 08:00:00,資金費率,EIGENUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,97.64,97.64,9997.64
53,2024-02-19 08:00:00,資金費率,GALAUSDT_binance_bybit,0.83,0.00050076,9900.0,9900.0,97.64,98.47,9998.47
54,2024-02-19 08:00:00,資金費率,SNXUSDT_binance_bybit,0.72,0.00043904,9900.0,9900.0,98.47,99.2,9999.2
55,2024-02-20 08:00:00,資金費率,EIGENUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,99.2,99.2,9999.2
56,2024-02-20 08:00:00,資金費率,GALAUSDT_binance_bybit,0.86,0.00051944,9900.0,9900.0,99.2,100.05,10000.05
57,2024-02-20 08:00:00,資金費率,SNXUSDT_binance_bybit,0.46,0.0002775,9900.0,9900.0,100.05,100.51,10000.51
58,2024-02-21 08:00:00,資金費率,EIGENUSDT_binance_bybit,0.0,0.0,9900.0,9900.0,100.51,100.51,10000.51
59,2024-02-21 08:00:00,資金費率,GALAUSDT_binance_bybit,0.96,0.00058073,9900.0,9900.0,100.51,101.47,10001.47
60,2024-02-21 08:00:00,資金費率,SNXUSDT_binance_bybit,-0.06,-3.876e-05,9900.0,9900.0,101.47,101.4,10001.4
61,2024-02-21 08:00:00,離場,EIGENUSDT_binance_bybit,3300.0,-,9900.0,6600.0,101.4,3401.4,10001.4
62,2024-02-21 08:00:00,離場手續費,EIGENUSDT_binance_bybit,-2.31,-,6600.0,6600.0,3401.4,3399.09,9999.09
62,2024-02-21 08:00:00,離場,GALAUSDT_binance_bybit,3300.0,-,6600.0,3300.0,3399.09,6699.09,9999.09
63,2024-02-21 08:00:00,離場手續費,GALAUSDT_binance_bybit,-2.31,-,3300.0,3300.0,6699.09,6696.78,9996.78
63,2024-02-21 08:00:00,離場,SNXUSDT_binance_bybit,3300.0,-,3300.0,0.0,6696.78,9996.78,9996.78
64,2024-02-21 08:00:00,離場手續費,SNXUSDT_binance_bybit,-2.31,-,0.0,0.0,9996.78,9994.47,9994.47
64,2024-02-21 08:00:00,進場,BIGTIMEUSDT_binance_bybit,-3300.0,-,0.0,3300.0,9994.47,6694.47,9994.47
65,2024-02-21 08:00:00,進場手續費,BIGTIMEUSDT_binance_bybit,-2.31,-,3300.0,3300.0,6694.47,6692.16,9992.16
65,2024-02-21 08:00:00,進場,ONDOUSDT_binance_bybit,-3300.0,-,3300.0,6600.0,6692.16,3392.16,9992.16
66,2024-02-21 08:00:00,進場手續費,ONDOUSDT_binance_bybit,-2.31,-,6600.0,6600.0,3392.16,3389.85,9989.85
66,2024-02-21 08:00:00,進場,ORDIUSDT_binance_bybit,-3300.0,-,6600.0,9900.0,3389.85,89.85,9989.85
67,2024-02-21 08:00:00,進場手續費,ORDIUSDT_binance_bybit,-2.31,-,9900.0,9900.0,89.85,87.54,9987.54
67,2024-02-22 08:00:00,資金費率,BIGTIMEUSDT_binance_bybit,1.9,0.0011504,9900.0,9900.0,87.54,89.44,9989.44
68,2024-02-22 08:00:00,資金費率,ONDOUSDT_binance_bybit,2.56,0.00155266,9900.0,9900.0,89.44,92.0,9992.0
69,2024-02-22 08:00:00,資金費率,ORDIUSDT_binance_bybit,0.92,0.0005578,9900.0,9900.0,92.0,92.92,9992.92
70,2024-02-23 08:00:00,資金費率,BIGTIMEUSDT_binance_bybit,0.92,0.0005572,9900.0,9900.0,92.92,93.84,9993.84
71,2024-02-23 08:00:00,資金費率,ONDOUSDT_binance_bybit,2.44,0.00148031,9900.0,9900.0,93.84,96.29,9996.29
72,2024-02-23 08:00:00,資金費率,ORDIUSDT_binance_bybit,1.34,0.00081405,9900.0,9900.0,96.29,97.63,9997.63
73,2024-02-24 08:00:00,資金費率,BIGTIMEUSDT_binance_bybit,1.37,0.00082926,9900.0,9900.0,97.63,99.0,9999.0
74,2024-02-24 08:00:00,資金費率,ONDOUSDT_binance_bybit,2.98,0.00180452,9900.0,9900.0,99.0,101.98,10001.98
75,2024-02-24 08:00:00,資金費率,ORDIUSDT_binance_bybit,1.59,0.00096061,9900.0,9900.0,101.98,103.56,10003.56
